algorithm,Predicted,Predictor,model,MSE_CV,MSE_training,MSE_testing,MSE_mean,error_training_mean,error_training_SEM,error_training_max,error_training_percent_mean,error_training_percent_SEM,error_training_percent_max,error_testing_mean,error_testing_SEM,error_testing_max,error_testing_percent_mean,error_testing_percent_SEM,error_testing_percent_max,error_mean_mean,error_mean_SEM,error_mean_max,error_mean_percent_mean,error_mean_percent_SEM,error_mean_percent_max,algorithm_run_time,time_performance_CV,time_prediction_training,time_performance_training,time_prediction_testing,time_performance_testing,time_prediction_mean,time_performance_mean,time_errors,n_models,n_training,n_testing,n_mean
RF,Tr,Ta_pen; heat,48,0.328818253777775,0.329783810882481,0.170750257529708,0.139027604534204,0.331568623031037,0.040008385800545,1.76692818515272,0.875865468182222,0.10560211609751,4.49371359397946,0.320330011309547,0.061575962760962,1.25929554950761,0.852301761998226,0.164776112581659,3.47967822466871,0.295217701192138,0.080225625542648,0.71981695041886,0.777377035336236,0.211877544696033,1.89286039344394,532.671406745911,0.108027458190918,9.18455100059509,0.124547243118286,7.88392424583435,8.12854909896851,8.0021276473999,157.066967964172,5.95780611038208,0,130,43,20
GBM,Tr,Ta_pen; heat,807,0.325851495597123,0.21480197719267,0.193423136825439,0.191286185578805,0.33145776176138,0.040805985854869,1.79584400639282,0.873761041816303,0.107458562147157,4.56725332246393,0.336235123860198,0.067096403746747,1.14121886885381,0.892409803056356,0.178771857169626,3.15340941932526,0.326892088850282,0.090986186125126,0.97599145994959,0.861705679933442,0.240399922466024,2.52690415272781,396.112552404404,0.118551969528198,7.30592036247253,0.123675346374512,8.76628494262695,9.02294087409973,8.01155090332031,245.030460119247,5.69241070747375,0,130,43,20
DL,Tr,Ta_pen; heat,1930,0.352854274499969,0.380915254304651,0.301134421527621,0.111118359173994,0.468798244418128,0.053730853049542,1.91731450385138,1.24162207110327,0.142661155406718,5.29644890566679,0.419425611028109,0.079473876579291,1.59063986746679,1.11632784635105,0.21226330777044,4.3952469396706,0.279484729327583,0.073700740238801,0.811392216797906,0.738960586318548,0.195254841846663,2.19419729251171,5396.25431036949,0.480878353118896,164.048114538193,0.130435705184937,44.8888041973114,45.1810967922211,21.3782093524933,829.831149578094,9.39402031898499,0,130,43,20
LM,Tr,Ta_brooder; heat,,0.3872231,0.3634106,0.2891485,0.09419571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM,Tr,Ta_brooder; heat,1,0.386547953544547,0.363410698108243,0.289148591611645,0.094195622662053,0.460732499178807,0.053076699802925,1.82160656567211,1.21627803086499,0.140387266710841,5.0181999054328,0.446015245956843,0.081372022366983,1.21406213458781,1.18308535739116,0.216077984127091,3.35468951253886,0.277570933933493,0.070054410355683,0.525989478310791,0.731789612468206,0.184527756035951,1.40249205538984,475.204372644424,0.098425149917603,8.00078344345093,0.128581762313843,7.39397788047791,7.64930605888367,7.51809501647949,59.7281527519226,4.72092008590698,1000,130,43,20
RF,Tr,Ta_brooder; heat,989,0.377284986778219,0.396280554676851,0.256837400869901,0.087785435881743,0.357506650068032,0.040076566105406,1.40282292273737,0.944063622772662,0.105973704471887,3.56770834877256,0.40274439572036,0.075856960736126,1.19577190522225,1.06901140078846,0.201395788467622,3.30415005587801,0.261812166021205,0.067782788397214,0.603124587028255,0.690911458932325,0.179009852278071,1.63099214967483,554.479870557785,0.115938901901245,11.3014199733734,0.128620624542236,8.53268885612488,8.77265954017639,8.85021185874939,159.191951036453,5.04442834854126,1000,130,43,20
GBM,Tr,Ta_brooder; heat,498,0.367761127410575,0.190082068862102,0.297202898830368,0.082829537595452,0.342466245132213,0.038386217451452,1.57679445079955,0.904746916620213,0.101731716175079,4.34378636583899,0.441976420000975,0.082344677296699,1.39101965629359,1.1705563741509,0.217610804528994,3.55668539067654,0.263175352291942,0.066017056972173,0.49131488622249,0.69389115701584,0.174023131246624,1.28478193218538,406.534312725067,0.108302116394043,7.29026365280151,0.104472160339355,8.61490797996521,8.85426497459412,8.07683730125427,247.57705450058,4.92217779159546,1000,130,43,20
DL,Tr,Ta_brooder; heat,1403,0.350585181079595,0.370168438382357,0.300821513843103,0.10759970839104,0.470175811474604,0.053211511128965,1.88285409152959,1.24371311246394,0.141066839811739,5.20125439649057,0.440664615938968,0.080365859076262,1.38021701359609,1.17112163315976,0.213981214882655,3.81380771924867,0.295330547178902,0.071319505973515,0.666662641587692,0.780185508220198,0.188413958616867,1.80281414204736,5249.16367602348,0.473575592041016,165.666558027267,0.51149582862854,47.2544231414795,47.9094018936157,19.6269099712372,783.230001926422,9.49646401405334,2000,130,43,20
LM,Tr,Nothing,,0.4263276,0.4191283,0.3593518,0.1499094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LM,Tr,Heat + random effects,,0.305495,0.3877649,0.2817943,0.1154387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LM,Tr,Random effects,,0.3052243,0.4191288,0.3594776,0.1499352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
